P40509,COPE_YEAST,YIL076W,Coatomer subunit epsilon,SEC28,ANU2
P53687,HST3_YEAST,YOR025W,NAD-dependent deacetylase HST3,HST3,
P26449,BUB3_YEAST,YOR026W,Cell cycle arrest protein BUB3,BUB3,
P15705,STI1_YEAST,YOR027W,Heat shock protein STI1,STI1,
P41902,CRS5_YEAST,YOR031W,Metallothionein-like protein CRS5,CRS5,
Q12398,HMS1_YEAST,YOR032C,Probable transcription factor HMS1,HMS1,
P12611,WHI2_YEAST,YOR043W,Growth regulation protein,WHI2,
Q08417,RSB1_YEAST,YOR049C,Sphingoid long-chain base transporter RSB1,RSB1,
Q12416,WHI5_YEAST,YOR083W,G1-specific transcriptional repressor WHI5,WHI5,
P48439,OST3_YEAST,YOR085W,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3 precursor,OST3,
Q12466,TCB1_YEAST,YOR086C,Tricalbin-1,TCB1,
Q12189,RPIA_YEAST,YOR095C,Ribose-5-phosphate isomerase,RKI1,
P20676,NUP1_YEAST,YOR098C,Nucleoporin NUP1,NUP1,
P27810,KTR1_YEAST,YOR099W,Alpha-1,2 mannosyltransferase KTR1,KTR1,
Q12289,CRC1_YEAST,YOR100C,Mitochondrial carnitine carrier,CRC1,
P01119,RAS1_YEAST,YOR101W,Ras-like protein 1 precursor,RAS1,
P46964,OST2_YEAST,YOR103C,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2,OST2,
Q12057,PIN2_YEAST,YOR104W,[PSI+] induction protein 2,PIN2,
Q99188,RGS2_YEAST,YOR107W,Regulator of G-protein signaling 2,RGS2,
Q12166,LEU9_YEAST,YOR108W,2-isopropylmalate synthase 2, mitochondrial precursor,LEU9,
Q12415,TFC7_YEAST,YOR110W,Transcription factor tau 55 kDa subunit,TFC7,
P21264,PUR6_YEAST,YOR128C,Phosphoribosylaminoimidazole carboxylase,ADE2,
P32324,EF2_YEAST,YDR385W,Elongation factor 2,EFT2,
P32324,EF2_YEAST,YOR133W,Elongation factor 2,EFT1,
Q12128,BAG7_YEAST,YOR134W,Rho-GTPase-activating protein BAG7,BAG7,
P28241,IDH2_YEAST,YOR136W,Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial precursor,IDH2,
Q12212,SIA1_YEAST,YOR137C,Protein SIA1 precursor,SIA1,
Q12242,RUP1_YEAST,YOR138C,UBA domain-containing protein RUP1,RUP1,
P20134,SFL1_YEAST,YOR140W,Flocculation suppression protein,SFL1,
Q12386,ARP8_YEAST,YOR141C,Actin-like protein ARP8,ARP8,
P53598,SUCA_YEAST,YOR142W,Succinyl-CoA ligase [ADP-forming] subunit alpha, mitochondrial precursor,LSC1,
P35202,THI80_YEAST,YOR143C,Thiamine pyrophosphokinase,THI80,
Q12171,MDM32_YEAST,YOR147W,Mitochondrial distribution and morphology protein 32, mitochondrial precursor,MDM32,
Q02521,SPP2_YEAST,YOR148C,Pre-mRNA-splicing factor SPP2,SPP2,
Q12487,RM23_YEAST,YOR150W,60S ribosomal protein L23, mitochondrial precursor,MRPL23,
Q99312,ISN1_YEAST,YOR155C,IMP-specific 5'-nucleotidase 1,ISN1,
P25043,PSB7_YEAST,YOR157C,Proteasome component PUP1 precursor,PUP1,
P17558,RTPT_YEAST,YOR158W,40S ribosomal protein PET123, mitochondrial precursor,PET123,
Q12330,RUXE_YEAST,YOR159C,Small nuclear ribonucleoprotein E,SME1,
Q12412,PNS1_YEAST,YOR161C,Protein PNS1,PNS1,
Q99321,DDP1_YEAST,YOR163W,Diphosphoinositol polyphosphate phosphohydrolase DDP1,DDP1,
Q99287,SEY1_YEAST,YOR165W,Protein SEY1,SEY1,
P13188,SYQ_YEAST,YOR168W,Glutaminyl-tRNA synthetase,GLN4,
Q12246,LCB4_YEAST,YOR171C,Sphingoid long chain base kinase 4,LCB4,
Q12340,YRM1_YEAST,YOR172W,Zinc finger transcription factor YRM1,YRM1,
Q12123,DCS2_YEAST,YOR173W,Protein DCS2,DCS2,
Q12343,MED4_YEAST,YOR174W,RNA polymerase II mediator complex subunit 4,MED4,
P16622,HEMH_YEAST,YOR176W,Ferrochelatase, mitochondrial precursor,HEM15,
Q08550,MPC54_YEAST,YOR177C,Meiotic plaque component protein 54,MPC54,
P28006,GAC1_YEAST,YOR178C,Serine/threonine-protein phosphatase 1 regulatory subunit GAC1,GAC1,
Q08553,SYC1_YEAST,YOR179C,Protein SYC1,SYC1,
Q12087,RS30_YEAST,YLR287C-A,40S ribosomal protein S30,RPS30A,
Q12087,RS30_YEAST,YOR182C,40S ribosomal protein S30,RPS30B,
Q08559,FYV12_YEAST,YOR183W,Protein FYV12,FYV12,
Q08580,PEX27_YEAST,YOR193W,Peroxisomal membrane protein PEX27,PEX27,
P32773,TOA1_YEAST,YOR194C,Transcription initiation factor IIA large subunit,TOA1,
Q08581,SLK19_YEAST,YOR195W,Kinetochore protein SLK19,SLK19,
P32875,LIP5_YEAST,YOR196C,Lipoic acid synthetase, mitochondrial precursor,LIP5,
P38934,BFR1_YEAST,YOR198C,Nuclear segregation protein BFR1,BFR1,
Q08622,FMP38_YEAST,YOR205C,Mitochondrial protein FMP38,FMP38,
P39744,NOC2_YEAST,YOR206W,Nucleolar complex protein 2,NOC2,
P29461,PTP2_YEAST,YOR208W,Tyrosine-protein phosphatase 2,PTP2,
P39683,NPT1_YEAST,YOR209C,Nicotinate phosphoribosyltransferase,NPT1,
P22139,RPB10_YEAST,YOR210W,DNA-directed RNA polymerases I/II/III subunit 10,RPB10,
Q99314,SAS5_YEAST,YOR213C,Something about silencing protein 5,SAS5,
Q12283,FABD_YEAST,YOR221C,Malonyl CoA-acyl carrier protein transacylase, mitochondrial precursor,MCT1,
Q99297,ODC2_YEAST,YOR222W,Mitochondrial 2-oxodicarboxylate carrier 2,ODC2,
P20436,RPB8_YEAST,YOR224C,DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide,RPB8,
Q12206,WTM2_YEAST,YOR229W,Transcriptional modulator WTM2,WTM2,
Q12363,WTM1_YEAST,YOR230W,Transcriptional modulator WTM1,WTM1,
P07807,DYR_YEAST,YOR236W,Dihydrofolate reductase,DFR1,
Q08646,SSP2_YEAST,YOR242C,Sporulation-specific protein 2,SSP2,
Q08650,DGA1_YEAST,YOR245C,Diacylglycerol O-acyltransferase 1,DGA1,
Q08673,SRL1_YEAST,YOR247W,Cell wall protein SRL1 precursor,SRL1,
Q08685,CLP1_YEAST,YOR250C,Protein CLP1,CLP1,
Q08692,OSW1_YEAST,YOR255W,Outer spore wall protein 1,OSW1,
Q08693,TRE2_YEAST,YOR256C,Putative zinc metalloprotease TRE2,TRE2,
Q08702,HNT3_YEAST,YOR258W,Hit family protein 3,HNT3,
Q08723,RPN8_YEAST,YOR261C,26S proteasome regulatory subunit RPN8,RPN8,
Q08729,DSE3_YEAST,YOR264W,Protein DSE3,DSE3,
P38969,PNT1_YEAST,YOR266W,Pentamidine resistance factor, mitochondrial precursor,PNT1,
Q08732,HRK1_YEAST,YOR267C,Serine/threonine-protein kinase HRK1,HRK1,
P39946,NUDF_YEAST,YOR269W,Nuclear distribution protein PAC1,PAC1,
P32563,VPH1_YEAST,YOR270C,Vacuolar ATP synthase subunit a, vacuolar isoform,VPH1,
Q12024,YTM1_YEAST,YOR272W,Microtubule-associated protein YTM1,YTM1,
Q12256,TPO4_YEAST,YOR273C,Polyamine transporter 4,TPO4,
P07884,MOD5_YEAST,YOR274W,tRNA isopentenyltransferase,MOD5,
Q12033,PALA_YEAST,YOR275C,pH-response regulator protein palA/RIM20,RIM20,
Q12192,RFM1_YEAST,YOR279C,Repression factor of MSEs protein 1,RFM1,
Q99369,FSH3_YEAST,YOR280C,Family of serine hydrolases 3,FSH3,
Q12134,HUA2_YEAST,YOR284W,Protein HUA2,HUA2,
Q08742,FMP31_YEAST,YOR286W,Putative thiosulfate sulfurtransferase FMP31, mitochondrial precursor,FMP31,
P07258,CARA_YEAST,YOR303W,Carbamoyl-phosphate synthase arginine-specific small chain,CPA1,
Q08773,ISW2_YEAST,YOR304W,ISWI chromatin remodeling complex ATPase ISW2,ISW2,
Q08777,MCH5_YEAST,YOR306C,Riboflavin transporter MCH5,MCH5,
P22215,SLY41_YEAST,YOR307C,Protein SLY41,SLY41,
Q12420,SNU66_YEAST,YOR308C,66 kDa U4/U6.U5 small nuclear ribonucleoprotein component,SNU66,
Q12382,HSD1_YEAST,YOR311C,Protein HSD1,HSD1,
P09937,SPS4_YEAST,YOR313C,Sporulation-specific protein 4,SPS4,
Q12507,SFG1_YEAST,YOR315W,Superficial pseudohyphal growth protein 1,SFG1,
P32798,COT1_YEAST,YOR316C,Cobalt uptake protein COT1,COT1,
P30624,LCF1_YEAST,YOR317W,Long-chain-fatty-acid--CoA ligase 1,FAA1,
Q99181,HSH49_YEAST,YOR319W,Protein HSH49,HSH49,
Q12096,GNT1_YEAST,YOR320C,Glucose N-acetyltransferase 1,GNT1,
P47190,PMT3_YEAST,YOR321W,Dolichyl-phosphate-mannose--protein mannosyltransferase 3,PMT3,
Q12502,LDB19_YEAST,YOR322C,Protein LDB19,LDB19,
P54885,PROA_YEAST,YOR323C,Gamma-glutamyl phosphate reductase,PRO2,
P33328,SNC2_YEAST,YOR327C,Synaptobrevin homolog 2,SNC2,
P51533,PDR10_YEAST,YOR328W,ATP-dependent permease PDR10,PDR10,
P15801,DPOG_YEAST,YOR330C,DNA polymerase gamma,MIP1,
Q01926,MRS2_YEAST,YOR334W,Magnesium transporter MRS2, mitochondrial precursor,MRS2,
P22023,KRE5_YEAST,YOR336W,Killer toxin-resistance protein 5 precursor,KRE5,
P47988,TEA1_YEAST,YOR337W,TY1 enhancer activator,TEA1,
P52492,UBC11_YEAST,YOR339C,Ubiquitin-conjugating enzyme E2-18 kDa,UBC11,
P12689,REV1_YEAST,YOR346W,DNA repair protein REV1,REV1,
P52489,KPYK2_YEAST,YOR347C,Pyruvate kinase 2,PYK2,
P15380,PUT4_YEAST,YOR348C,Proline-specific permease,PUT4,
P40987,CIN1_YEAST,YOR349W,Protein CIN1,CIN1,
Q08818,MSC6_YEAST,YOR354C,Meiotic sister-chromatid recombination protein 6, mitochondrial precursor,MSC6,
P41913,GDS1_YEAST,YOR355W,Protein GDS1,GDS1,
Q02516,HAP5_YEAST,YOR358W,Transcriptional activator HAP5,HAP5,
Q08831,VTS1_YEAST,YOR359W,Protein VTS1,VTS1,
Q08873,SCP1_YEAST,YOR367W,Transgelin,SCP1,
P48581,RAD17_YEAST,YOR368W,DNA damage checkpoint control protein RAD17,RAD17,
P48589,RS12_YEAST,YOR369C,40S ribosomal protein S12,RPS12,
Q08887,NDD1_YEAST,YOR372C,Nuclear division defective protein 1,NDD1,
P32336,NUD1_YEAST,YOR373W,Protein NUD1,NUD1,
P40353,ATF1_YEAST,YOR377W,Alcohol O-acetyltransferase 1,ATF1,
Q08904,RDR1_YEAST,YOR380W,Protein RDR1,RDR1,
Q08905,FRE3_YEAST,YOR381W,Ferric reductase transmembrane component 3 precursor,FRE3,
Q08906,FIT2_YEAST,YOR382W,Facilitator of iron transport 2 precursor,FIT2,
Q08907,FIT3_YEAST,YOR383C,Facilitator of iron transport 3 precursor,FIT3,
Q08908,FRE5_YEAST,YOR384W,Ferric reductase transmembrane component 5 precursor,FRE5,
P05066,PHR_YEAST,YOR386W,Deoxyribodipyrimidine photo-lyase, mitochondrial precursor,PHR1,
Q08911,FDH1_YEAST,YOR388C,Formate dehydrogenase 1,FDH1,
Q08914,HSP33_YEAST,YOR391C,Probable chaperone HSP33,HSP33,
Q12341,HAT1_YEAST,YPL001W,Histone acetyltransferase type B catalytic subunit,HAT1,
Q12230,LSP1_YEAST,YPL004C,Sphingolipid long chain base-responsive protein LSP1,LSP1,
Q12089,AEP3_YEAST,YPL005W,ATPase expression protein 3,AEP3,
Q12200,NPC1_YEAST,YPL006W,Niemann-pick type C-related protein 1 precursor,NCR1,
Q12308,TFC8_YEAST,YPL007C,Transcription factor tau 60 kDa subunit,TFC8,
P53600,COPZ_YEAST,YPL010W,Coatomer subunit zeta,RET3,
Q12754,RRP12_YEAST,YPL012W,Ribosomal RNA-processing protein 12,RRP12,
Q02608,RT16_YEAST,YPL013C,Mitochondrial ribosomal protein S16,MRPS16,
P53686,HST2_YEAST,YPL015C,NAD-dependent deacetylase HST2,HST2,
Q02733,IRC15_YEAST,YPL017C,Increased recombination centers protein 15,IRC15,
P46151,MTHR1_YEAST,YPL023C,Methylenetetrahydrofolate reductase 1,MET12,
Q02651,SMA1_YEAST,YPL027W,Spore membrane assembly protein 1,SMA1,
P19657,PMA2_YEAST,YPL036W,Plasma membrane ATPase 2,PMA2,
Q02642,NACB1_YEAST,YPL037C,Nascent polypeptide-associated complex subunit beta-1,EGD1,
Q03081,MET31_YEAST,YPL038W,Transcriptional regulator MET31,MET31,
P48526,SYIM_YEAST,YPL040C,Isoleucyl-tRNA synthetase, mitochondrial,ISM1,
Q03071,ELOC_YEAST,YPL046C,Elongin-C,ELC1,
Q03067,SGF11_YEAST,YPL047W,SAGA-associated factor 11,SGF11,
P39107,MNN9_YEAST,YPL050C,Mannan polymerase complexes MNN9 subunit,MNN9,
Q02799,LEE1_YEAST,YPL054W,Zinc finger protein LEE1,LEE1,
Q02796,LGE1_YEAST,YPL055C,Transcriptional regulatory protein LGE1,LGE1,
Q02785,PDR12_YEAST,YPL058C,ATP-dependent permease PDR12,PDR12,
Q02784,GLRX5_YEAST,YPL059W,Monothiol glutaredoxin-5, mitochondrial precursor,GRX5,
Q02783,LPE10_YEAST,YPL060W,Inner membrane magnesium transporter LPE10, mitochondrial precursor,LPE10,
Q02776,TIM50_YEAST,YPL063W,Import inner membrane translocase subunit TIM50, mitochondrial precursor,TIM50,
Q12051,GGPPS_YEAST,YPL069C,Geranylgeranyl pyrophosphate synthetase,BTS1,
Q02866,MUK1_YEAST,YPL070W,Protein MUK1,MUK1,
Q02863,UBP16_YEAST,YPL072W,Ubiquitin carboxyl-terminal hydrolase 16,UBP16,
P40328,TBP6_YEAST,YPL074W,Probable 26S protease subunit YTA6,YTA6,
Q12672,RL21B_YEAST,YPL079W,60S ribosomal protein L21-B,RPL21B,
Q02825,SEN54_YEAST,YPL083C,tRNA-splicing endonuclease subunit SEN54,SEN54,
Q02896,YDC1_YEAST,YPL087W,Alkaline ceramidase YDC1,YDC1,
Q12224,RLM1_YEAST,YPL089C,Transcription factor RLM1,RLM1,
Q02892,NOG1_YEAST,YPL093W,Nucleolar GTP-binding protein 1,NOG1,
Q02890,PNG1_YEAST,YPL096W,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,PNG1,
P48527,SYYM_YEAST,YPL097W,Tyrosyl-tRNA synthetase, mitochondrial precursor,MSY1,
Q02889,MGR2_YEAST,YPL098C,Protein MGR2,MGR2,
Q02888,FMP14_YEAST,YPL099C,Mitochondrial protein FMP14,FMP14,
Q02883,FMP30_YEAST,YPL103C,NAPE-hydrolyzing phospholipase D, mitochondrial precursor,FMP30,
P32873,BEM3_YEAST,YPL115C,GTPase-activating protein BEM3,BEM3,
Q02959,HOS3_YEAST,YPL116W,Histone deacetylase HOS3,HOS3,
Q02950,RT51_YEAST,YPL118W,Mitochondrial 40S ribosomal protein MRP51,MRP51,
Q02939,TFB2_YEAST,YPL122C,RNA polymerase II transcription factor B subunit 2,TFB2,
Q02933,RNY1_YEAST,YPL123C,Ribonuclease T2-like precursor,RNY1,
Q02932,KA120_YEAST,YPL125W,Importin beta-like protein KAP120,KAP120,
Q03029,SPO19_YEAST,YPL130W,Sporulation-specific protein 19 precursor,SPO19,
Q03028,ODC1_YEAST,YPL134C,Mitochondrial 2-oxodicarboxylate carrier 1,ODC1,
Q03016,GIP3_YEAST,YPL137C,GLC7-interacting protein 3,GIP3,
Q12036,PPT2_YEAST,YPL148C,Mitochondrial holo-[acyl-carrier-protein] synthase,PPT2,
P28743,KIP2_YEAST,YPL155C,Kinesin-like protein KIP2,KIP2,
Q12498,PRM4_YEAST,YPL156C,Pheromone-regulated membrane protein 4,PRM4,
Q12052,TGS1_YEAST,YPL157W,Trimethylguanosine synthase,TGS1,
Q99373,PET20_YEAST,YPL159C,Protein PET20, mitochondrial precursor,PET20,
P26637,SYLC_YEAST,YPL160W,Leucyl-tRNA synthetase, cytoplasmic,CDC60,
Q12254,SVS1_YEAST,YPL163C,Protein SVS1 precursor,SVS1,
Q12083,MLH3_YEAST,YPL164C,DNA mismatch repair protein MLH3,MLH3,
Q12529,SET6_YEAST,YPL165C,Potential protein lysine methyltransferase SET6,SET6,
Q12092,ATG29_YEAST,YPL166W,Autophagy-related protein 29,ATG29,
Q99257,MEX67_YEAST,YPL169C,mRNA export factor MEX67,MEX67,
Q12091,DAP1_YEAST,YPL170W,Damage response protein 1,DAP1,
P21592,COX10_YEAST,YPL172C,Protoheme IX farnesyltransferase, mitochondrial precursor,COX10,
P36534,RM40_YEAST,YPL173W,60S ribosomal protein L40, mitochondrial precursor,MRPL40,
Q08919,TRE1_YEAST,YPL176C,Uncharacterized protein TRE1,TRE1,
P41817,CUP9_YEAST,YPL177C,Homeobox protein CUP9,CUP9,
Q12245,YP144_YEAST,YPL144W,Protein YPL144W,POC4,
Q08929,GUP2_YEAST,YPL189W,Glycerol uptake protein 2,GUP2,
Q08931,PRM3_YEAST,YPL192C,Pheromone-regulated membrane protein 3,PRM3,
Q08932,RSA1_YEAST,YPL193W,Ribosome assembly 1 protein,RSA1,
Q08949,DDC1_YEAST,YPL194W,DNA damage checkpoint protein 1,DDC1,
Q08952,OXR1_YEAST,YPL196W,Oxidation resistance protein 1,OXR1,
Q08955,CSM4_YEAST,YPL200W,Chromosome segregation in meiosis protein 4,CSM4,
P29295,HRR25_YEAST,YPL204W,Casein kinase I homolog HRR25,HRR25,
Q08961,RKM1_YEAST,YPL208W,Ribosomal N-lysine methyltransferase 1,RKM1,
P38688,SRP72_YEAST,YPL210C,Signal recognition particle subunit SRP72,SRP72,
Q08962,NIP7_YEAST,YPL211W,60S ribosome subunit biogenesis protein NIP7,NIP7,
Q12211,PUS1_YEAST,YPL212C,tRNA pseudouridine synthase 1,PUS1,
Q08963,RU2A_YEAST,YPL213W,U2 small nuclear ribonucleoprotein A',LEA1,
P41835,THI6_YEAST,YPL214C,Thiamine biosynthetic bifunctional enzyme,THI6,
P21560,CBP3_YEAST,YPL215W,Protein CBP3, mitochondrial precursor,CBP3,
Q08965,BMS1_YEAST,YPL217C,Ribosome biogenesis protein BMS1,BMS1,
P20606,SAR1_YEAST,YPL218W,GTP-binding protein SAR1,SAR1,
Q08966,PCL8_YEAST,YPL219W,PHO85 cyclin 8,PCL8,
Q08969,GRE1_YEAST,YPL223C,Protein GRE1,GRE1,
Q08972,NEW1_YEAST,YPL226W,[NU+] prion formation protein 1,NEW1,
P40350,ALG5_YEAST,YPL227C,Dolichyl-phosphate beta-glucosyltransferase,ALG5,
P19097,FAS2_YEAST,YPL231W,Fatty acid synthase subunit alpha,FAS2,
P32867,SSO1_YEAST,YPL232W,Protein SSO1,SSO1,
Q12143,NSL1_YEAST,YPL233W,Kinetochore-associated protein NSL1,NSL1,
P46683,YAR1_YEAST,YPL239W,Ankyrin repeat-containing protein YAR1,YAR1,
P46670,CIN2_YEAST,YPL241C,Tubulin-folding cofactor C,CIN2,
P38687,SRP68_YEAST,YPL243W,Signal recognition particle subunit SRP68,SRP68,
Q12270,RBD2_YEAST,YPL246C,Rhomboid protein 2,RBD2,
Q12344,GYP5_YEAST,YPL249C,GTPase-activating protein GYP5,GYP5,
Q12048,ICY2_YEAST,YPL250C,Protein ICY2,ICY2,
Q12184,ADRX_YEAST,YPL252C,Adrenodoxin homolog, mitochondrial precursor,YAH1,
Q12045,VIK1_YEAST,YPL253C,Spindle pole body-associated protein VIK1,VIK1,
Q12365,BBP1_YEAST,YPL255W,Protein BBP1,BBP1,
P20438,CG12_YEAST,YPL256C,G1/S-specific cyclin CLN2,CLN2,
Q08979,KEL3_YEAST,YPL263C,Kelch repeat-containing protein 3,KEL3,
P53388,DIP5_YEAST,YPL265W,Dicarboxylic amino acid permease,DIP5,
Q08981,ACM1_YEAST,YPL267W,APC/C-CDH1 modulator 1,ACM1,
P32383,PLC1_YEAST,YPL268W,1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase 1,PLC1,
P32526,KAR9_YEAST,YPL269W,Karyogamy protein KAR9,KAR9,
Q08985,SAM4_YEAST,YPL273W,Homocysteine S-methyltransferase 2,SAM4,
Q08986,SAM3_YEAST,YPL274W,S-adenosylmethionine permease SAM3,SAM3,
Q08992,HSP32_YEAST,YPL280W,Probable chaperone HSP32,HSP32,
Q12007,ERR1_YEAST,YOR393W,Enolase-related protein 1/2,ERR1,
Q12007,ERR1_YEAST,YPL281C,Enolase-related protein 1/2,ERR2,
P42221,PAU19_YEAST,YMR325W,Seripauperin-19/21/22 precursor,PAU19,
P42221,PAU19_YEAST,YOR394W,Seripauperin-19/21/22 precursor,PAU21,
P42221,PAU19_YEAST,YPL282C,Seripauperin-19/21/22 precursor,PAU22,
P43635,CISY3_YEAST,YPR001W,Citrate synthase 3,CIT3,
Q01766,HAL1_YEAST,YPR005C,Halotolerance protein HAL1,HAL1,
Q12031,ACEB_YEAST,YPR006C,Mitochondrial 2-methylisocitrate lyase,ICL2,
Q12753,HAA1_YEAST,YPR008W,Transcriptional activator HAA1,HAA1,
Q12286,SUT2_YEAST,YPR009W,Sterol uptake protein 2,SUT2,
P32601,DSS4_YEAST,YPR017C,Protein DSS4,DSS4,
Q12233,ATPN_YEAST,YPR020W,ATP synthase subunit g, mitochondrial,ATP20,
Q12432,EAF3_YEAST,YPR023C,Chromatin modification-related protein EAF3,EAF3,
P37366,CCL1_YEAST,YPR025C,Cyclin CCL1,CCL1,
P48016,ATH1_YEAST,YPR026W,Vacuolar acid trehalase precursor,ATH1,
Q12028,AP1G1_YEAST,YPR029C,AP-1 complex subunit gamma-1,APL4,
Q12311,NTO1_YEAST,YPR031W,NuA3 HAT complex component NTO1,NTO1,
P32288,GLNA_YEAST,YPR035W,Glutamine synthetase,GLN1,
Q12284,ERV2_YEAST,YPR037C,FAD-linked sulfhydryl oxidase ERV2,ERV2,
Q12199,TIP41_YEAST,YPR040W,Type 2A phosphatase activator TIP41,TIP41,
Q12262,MCM16_YEAST,YPR046W,Central kinetochore subunit MCM16,MCM16,
P08425,SYFM_YEAST,YPR047W,Phenylalanyl-tRNA synthetase, mitochondrial precursor,MSF1,
Q12181,TAH18_YEAST,YPR048W,Probable NADPH reductase TAH18,TAH18,
Q03503,MAK3_YEAST,YPR051W,N-terminal acetyltransferase C complex catalytic subunit MAK3,MAK3,
P41808,SMK1_YEAST,YPR054W,Sporulation-specific mitogen-activated protein kinase SMK1,SMK1,
P32855,SEC8_YEAST,YPR055W,Exocyst complex component SEC8,SEC8,
Q12004,TFB4_YEAST,YPR056W,RNA polymerase II transcription factor B subunit 4,TFB4,
Q99177,BRR1_YEAST,YPR057W,Pre-mRNA-splicing factor BRR1,BRR1,
P32331,YMC1_YEAST,YPR058W,Carrier protein YMC1, mitochondrial precursor,YMC1,
Q12425,ISA2_YEAST,YPR067W,Iron sulfur assembly protein 2,ISA2,
Q12214,HOS1_YEAST,YPR068C,Histone deacetylase HOS1,HOS1,
Q12074,SPEE_YEAST,YPR069C,Spermidine synthase,SPE3,
Q12321,MED1_YEAST,YPR070W,RNA polymerase II mediator complex subunit 1,MED1,
Q12514,NOT5_YEAST,YPR072W,General negative regulator of transcription subunit 5,NOT5,
P40347,PPAL_YEAST,YPR073C,Low molecular weight phosphotyrosine protein phosphatase,LTP1,
P23254,TKT1_YEAST,YPR074C,Transketolase 1,TKL1,
Q06810,OPY2_YEAST,YPR075C,Protein OPY2,OPY2,
Q06815,MRL1_YEAST,YPR079W,Mannose 6-phosphate receptor-like protein 1 precursor,MRL1,
Q06817,SYG2_YEAST,YPR081C,Glycyl-tRNA synthetase 2,GRS2,
Q06820,MDM36_YEAST,YPR083W,Mitochondrial distribution and morphology protein 36,MDM36,
Q06834,ASR1_YEAST,YPR093C,Alcohol-sensitive RING finger protein 1,ASR1,
Q06835,RDS3_YEAST,YPR094W,Pre-mRNA-splicing factor RDS3,RDS3,
Q06836,SYT1_YEAST,YPR095C,Arf guanine nucleotide exchange factor SYT1,SYT1,
Q06090,RM51_YEAST,YPR100W,60S ribosomal protein L51, mitochondrial precursor,MRPL51,
Q06098,ISR1_YEAST,YPR106W,Serine/threonine-protein kinase ISR1,ISR1,
Q06102,YTH1_YEAST,YPR107C,mRNA 3'-end-processing protein YTH1,YTH1,
Q06103,RPN7_YEAST,YPR108W,26S proteasome regulatory subunit RPN7,RPN7,
P32328,DBF20_YEAST,YPR111W,Serine/threonine-protein kinase DBF20,DBF20,
Q06106,MRD1_YEAST,YPR112C,Multiple RNA-binding domain-containing protein 1,MRD1,
P24869,CG22_YEAST,YPR119W,G2/mitotic-specific cyclin-2,CLB2,
P30283,CGS5_YEAST,YPR120C,S-phase entry cyclin-5,CLB5,
Q06490,THI22_YEAST,YPR121W,Thiamine biosynthesis protein THI22 precursor,THI22,
P49573,CTR1_YEAST,YPR124W,Copper transport protein CTR1,CTR1,
Q06497,ANT1_YEAST,YPR128C,Peroxisomal adenine nucleotide transporter 1,ANT1,
Q06504,NAT3_YEAST,YPR131C,N-terminal acetyltransferase B complex catalytic subunit NAT3,NAT3,
P08593,MSS18_YEAST,YPR134W,Protein MSS18,MSS18,
Q06506,RRP9_YEAST,YPR137W,Ribosomal RNA-processing protein 9,RRP9,
P53390,MEP3_YEAST,YPR138C,Ammonium transporter MEP3,MEP3,
Q06508,VPS66_YEAST,YPR139C,Vacuolar protein sorting-associated protein 66,VPS66,
Q06510,TAZ1_YEAST,YPR140W,Lysophosphatidylcholine acyltransferase,TAZ1,
Q06511,RRP15_YEAST,YPR143W,Ribosomal RNA-processing protein 15,RRP15,
P49089,ASNS1_YEAST,YPR145W,Asparagine synthetase [glutamine-hydrolyzing] 1,ASN1,
Q06524,SUE1_YEAST,YPR151C,Protein SUE1, mitochondrial precursor,SUE1,
Q06525,URN1_YEAST,YPR152C,Pre-mRNA-splicing factor URN1,URN1,
Q12374,NCA2_YEAST,YPR155C,Nuclear control of ATPase protein 2,NCA2,
Q06451,TPO3_YEAST,YPR156C,Polyamine transporter 3,TPO3,
P06738,PHSG_YEAST,YPR160W,Glycogen phosphorylase,GPH1,
P54791,ORC4_YEAST,YPR162C,Origin recognition complex subunit 4,ORC4,
P06780,RHO1_YEAST,YPR165W,GTP-binding protein RHO1,RHO1,
P10663,RT02_YEAST,YPR166C,Mitochondrial 40S ribosomal protein MRP2,MRP2,
P18408,MET16_YEAST,YPR167C,Phosphoadenosine phosphosulfate reductase,MET16,
Q06214,JIP5_YEAST,YPR169W,WD repeat protein JIP5,JIP5,
Q06604,BSP1_YEAST,YPR171W,Protein BSP1,BSP1,
P24482,DPB2_YEAST,YPR175W,DNA polymerase epsilon subunit B,DPB2,
P20133,BET2_YEAST,YPR176C,Type-2 proteins geranylgeranyltransferase subunit beta,BET2,
P15303,SEC23_YEAST,YPR181C,Protein transport protein SEC23,SEC23,
P54999,RUXF_YEAST,YPR182W,Small nuclear ribonucleoprotein F,SMX3,
Q06625,GDE_YEAST,YPR184W,Glycogen debranching enzyme,GDB1,
Q06580,MLC2_YEAST,YPR188C,Myosin light chain 2,MLC2,
P53386,AQY1_YEAST,YPR192W,Aquaporin-1,AQY1,
Q06592,HPA2_YEAST,YPR193C,Histone acetyltransferase HPA2,HPA2,
Q06593,OPT2_YEAST,YPR194C,Oligopeptide transporter 2,OPT2,
P31380,YAB9_YEAST,YAL019W,Probable ATP-dependent helicase YAL019W,FUN30,
